Grid_ID,Lat,Lon,All_Richness,Widespread_Richness,Intermediate_Richness,Restricted_Richness,Highly_restricted_Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,HII,MDE_Continent,MDE_Globe,TEMPWATER
2,-55.4840012,-69.5,2,2,,,,South America,12.324218,1023.739277,3.867436942,0.001687408,2.971332843,0.010773362,-7.186315374,264.1597917,975,220.6775362,4.128137384,27.86,19.52,4.073235515
3,-55.4840012,-68.5,1,1,,,,South America,13.02920415,879.3712803,4.141402827,0.000272875,0.69850001,0.002239348,-7.235283543,230.8152778,838,209.8955696,4.119142972,27.36,19.17,4.561892891
4,-55.4840012,-67.5,7,3,2,2,,South America,13.55543907,814.022943,4.436444324,0.011294013,6.102777083,0.050636511,-7.299408836,184.5865278,667,139.0839161,4,25.54,18.51,4.80489065
12,-54.4840012,-71.5,1,,1,,,South America,12.61626219,1393.664337,4.457611231,0.005476361,7.294888557,0.028517132,-6.827509264,319.1666667,849,181.8648069,5.07425399,30.79,21.21,4.600367472
13,-54.4840012,-70.5,1,,1,,,South America,12.65758996,1113.827869,3.726056084,0.005707563,6.227500026,0.029485058,-6.759982928,255.4463194,1622,298.8574219,4.488044546,31.48,21.26,4.379119345
14,-54.4840012,-69.5,2,,1,1,,South America,13.42727116,779.4233457,2.986032628,0.020635352,5.194999977,0.080080633,-6.657562493,168.5384028,1912,472.0111111,3.57067474,30.9,21.18,4.061119892
15,-54.4840012,-68.5,13,6,4,3,,South America,15.05721726,507.3057292,4.059766555,0.045121986,6.182444293,0.139805315,-6.304877317,126.8655556,1095,367.3380282,6.696116579,29.54,20.55,4.367430815
16,-54.4840012,-67.5,16,8,4,3,1,South America,15.41893281,491.8217274,4.693430263,0.063720553,8.915167142,0.175438492,-6.510453412,107.1392361,749,219.8519856,10.9068754,27.59,19.43,5.101613496
17,-54.4840012,-66.5,2,1,,1,,South America,14.32670348,577.2593002,4.502613566,0.000969188,0.954499993,0.006725243,-6.589530377,110.9063194,585,203.4519774,9.201726654,25.49,17.93,5.60140195
18,-54.4840012,-65.5,7,5,,2,,South America,13.18472044,610.8376747,4.906764875,0.004174313,2.570000002,0.022870247,-6.679234091,116.5407639,364,102.6891892,11.8929865,19.36,15.02,5.955443297
19,-54.4840012,-64.5,6,2,2,2,,South America,11.56677927,634.3547297,4.347583515,0.001324562,1.621500013,0.008777443,-6.763314528,126.8001389,345,99.18181818,8.976608187,15.13,12.73,4.80729516
28,-53.4840012,-73.5,1,,,1,,South America,13.22163702,2645.442411,5.526920366,0.003869985,5.494832835,0.021495852,-6.796986971,692.9784028,602,108.7401961,5.995768229,27.96,20.13,5.013309962
29,-53.4840012,-72.5,2,1,1,,,South America,14.18253923,1651.074241,4.494135107,0.012265181,11.29083285,0.053978948,-6.638339706,454.2783333,989,253.3327338,5.982617001,31.74,21.79,4.573852129
30,-53.4840012,-71.5,7,4,1,2,,South America,14.63456271,948.7562121,4.462819574,0.004088077,2.075611429,0.022483117,-6.22822078,219.8522917,663,284.6951983,6.749559083,33.43,22.54,4.752535871
31,-53.4840012,-70.5,14,5,5,4,,South America,14.86772185,648.1278677,5.777451981,0.009307541,4.33927708,0.043530721,-6.139868634,122.28,513,124.2108844,10.32124626,34.16,22.77,5.504678103
32,-53.4840012,-69.5,3,2,1,,,South America,15.70755633,463.6391891,5.60576778,0.01328774,6.1951672,0.057415174,-5.271040223,96.07659722,536,199.7045908,6.330166667,32.92,22.02,5.733216281
33,-53.4840012,-68.5,2,2,,,,South America,16.84849524,337.3198397,5.996163861,0.019714701,12.16305569,0.077407619,-5.388350401,65.14104167,367,97.58483034,10.16597372,31.7,21.4,6.541403909
34,-53.4840012,-67.5,6,3,1,2,,South America,17.70401647,319.515062,5.911254679,0.003471621,1.822055722,0.019660255,-5.400817997,68.69513889,110,34.25287356,18.45185615,28.42,19.66,6.700299561
43,-52.4840012,-72.5,2,,1,1,,South America,16.7658113,1002.90268,4.772868118,0.022022334,8.338222832,0.08403058,-5.842513306,308.2350694,1101,301.5072993,7.160578726,35.85,23.72,4.691136062
