Grid_ID,Lat,Lon,Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,MDE,HII
2,-55.4840012,-69.5,38,South America,12.324218,1023.739277,3.867436942,0.001687408,2.971332843,0.010773362,-7.186315374,264.1597917,975,220.6775362,47.34,4.128137384
3,-55.4840012,-68.5,38,South America,13.02920415,879.3712803,4.141402827,0.000272875,0.69850001,0.002239348,-7.235283543,230.8152778,838,209.8955696,46.45,4.119142972
4,-55.4840012,-67.5,43,South America,13.55543907,814.022943,4.436444324,0.011294013,6.102777083,0.050636511,-7.299408836,184.5865278,667,139.0839161,44.59,4
12,-54.4840012,-71.5,38,South America,12.61626219,1393.664337,4.457611231,0.005476361,7.294888557,0.028517132,-6.827509264,319.1666667,849,181.8648069,49.78,5.07425399
13,-54.4840012,-70.5,38,South America,12.65758996,1113.827869,3.726056084,0.005707563,6.227500026,0.029485058,-6.759982928,255.4463194,1622,298.8574219,50.4,4.488044546
14,-54.4840012,-69.5,38,South America,13.42727116,779.4233457,2.986032628,0.020635352,5.194999977,0.080080633,-6.657562493,168.5384028,1912,472.0111111,49.75,3.57067474
15,-54.4840012,-68.5,60,South America,15.05721726,507.3057292,4.059766555,0.045121986,6.182444293,0.139805315,-6.304877317,126.8655556,1095,367.3380282,48.54,6.696116579
16,-54.4840012,-67.5,60,South America,15.41893281,491.8217274,4.693430263,0.063720553,8.915167142,0.175438492,-6.510453412,107.1392361,749,219.8519856,46.68,10.9068754
17,-54.4840012,-66.5,39,South America,14.32670348,577.2593002,4.502613566,0.000969188,0.954499993,0.006725243,-6.589530377,110.9063194,585,203.4519774,44.52,9.201726654
18,-54.4840012,-65.5,41,South America,13.18472044,610.8376747,4.906764875,0.004174313,2.570000002,0.022870247,-6.679234091,116.5407639,364,102.6891892,37.41,11.8929865
19,-54.4840012,-64.5,40,South America,11.56677927,634.3547297,4.347583515,0.001324562,1.621500013,0.008777443,-6.763314528,126.8001389,345,99.18181818,32.3,8.976608187
28,-53.4840012,-73.5,38,South America,13.22163702,2645.442411,5.526920366,0.003869985,5.494832835,0.021495852,-6.796986971,692.9784028,602,108.7401961,48.22,5.995768229
29,-53.4840012,-72.5,39,South America,14.18253923,1651.074241,4.494135107,0.012265181,11.29083285,0.053978948,-6.638339706,454.2783333,989,253.3327338,51.81,5.982617001
30,-53.4840012,-71.5,40,South America,14.63456271,948.7562121,4.462819574,0.004088077,2.075611429,0.022483117,-6.22822078,219.8522917,663,284.6951983,53.57,6.749559083
31,-53.4840012,-70.5,44,South America,14.86772185,648.1278677,5.777451981,0.009307541,4.33927708,0.043530721,-6.139868634,122.28,513,124.2108844,53.23,10.32124626
32,-53.4840012,-69.5,39,South America,15.70755633,463.6391891,5.60576778,0.01328774,6.1951672,0.057415174,-5.271040223,96.07659722,536,199.7045908,51.87,6.330166667
33,-53.4840012,-68.5,54,South America,16.84849524,337.3198397,5.996163861,0.019714701,12.16305569,0.077407619,-5.388350401,65.14104167,367,97.58483034,50.32,10.16597372
34,-53.4840012,-67.5,42,South America,17.70401647,319.515062,5.911254679,0.003471621,1.822055722,0.019660255,-5.400817997,68.69513889,110,34.25287356,47.38,18.45185615
43,-52.4840012,-72.5,39,South America,16.7658113,1002.90268,4.772868118,0.022022334,8.338222832,0.08403058,-5.842513306,308.2350694,1101,301.5072993,55.38,7.160578726
44,-52.4840012,-71.5,59,South America,18.15264737,482.6583151,5.345345147,0.023212563,9.476499933,0.087350304,-5.15219097,125.6874306,779,237.492278,55.83,9.413467025
45,-52.4840012,-70.5,60,South America,18.77366765,326.7438406,6.17696066,0.003573334,3.49772291,0.020133079,-4.995813364,56.54513889,362,143.5864811,55.33,8.958468698
46,-52.4840012,-69.5,59,South America,18.33407627,298.1331378,6.651276069,0.000999875,1.250499997,0.006907017,-4.717526041,51.08618056,307,98.97533632,53.6,9.997644981
47,-52.4840012,-68.5,68,South America,17.30495956,279.5582787,6.598275278,0.000671313,0.860999997,0.004904794,-4.638097228,46.52902778,200,77.56451613,50.78,16.1964251
49,-52.4840012,-60.5,2,South America,11.55062005,504.4639233,6.35903326,0.000191437,0.266500001,0.001638887,-5.895187496,123.4383333,263,69.72043011,3.22,8.097663271
55,-51.4840012,-75.5,38,South America,11.32439026,3767.905253,5.682328798,0.000217563,0.3235,0.00183471,-5.692018799,427.8686111,448,116.373494,48.8,5.918367347
57,-51.4840012,-73.5,41,South America,16.01292154,1568.671327,4.768197126,0.031383197,19.05838709,0.108632393,-6.220681137,331.6925,1582,370.70194,56.92,5.557168784
58,-51.4840012,-72.5,66,South America,19.43023954,477.8938612,5.65595394,0.05929095,11.11549996,0.167514638,-5.765309611,127.8404167,1084,296.6097122,57.92,8.585074397
59,-51.4840012,-71.5,58,South America,21.1067778,269.83625,5.681536171,0.006186013,4.372388551,0.031458751,-5.196647279,50.26958333,780,335.6371528,57.8,11.850625
60,-51.4840012,-70.5,49,South America,21.60831941,214.0185417,6.787742187,0.005423749,3.63538856,0.028295526,-4.662839986,36.58569444,253,183.9739583,56.96,12.06319444
61,-51.4840012,-69.5,49,South America,21.45803355,228.4859322,7.319967058,0.007900438,5.102499992,0.038244731,-4.369055563,42.95256944,228,92.97142857,54.79,12.06696396
64,-51.4840012,-60.5,5,South America,11.89197223,493.2829534,6.577267088,0.005107188,3.351500016,0.026951172,-5.433057573,107.8651389,490,58.35483871,3.24,9.363354839
65,-51.4840012,-59.5,5,South America,12.54999166,532.7003833,6.557289065,0.004609744,5.056055681,0.0247985,-5.597781538,112.681875,463,62.80979827,3.24,9.583347465
66,-51.4840012,-58.5,4,South America,14.24527834,575.6694158,6.263384882,0.00477173,4.524111455,0.025505117,-5.811890331,106.1965278,397,70.69121813,2.99,10.71960647
68,-50.4840012,-75.5,38,South America,11.8316647,5914.750592,6.470503804,0.00303475,3.688500043,0.017594346,-5.719358805,393.7240278,392,135.2095238,51.9,6.00427491
69,-50.4840012,-74.5,40,South America,13.55639764,3693.542104,6.348798392,0.017735311,18.15116562,0.071512279,-6.516780377,357.3341667,683,208.8072519,56.56,6.025851799
70,-50.4840012,-73.5,59,South America,15.7305674,1601.294943,2.459645868,0.058808559,17.60549998,0.166632162,-6.184938367,215.0908333,2427,922.5874126,59.02,3.466099831
71,-50.4840012,-72.5,63,South America,20.00238888,477.8102778,4.922438081,0.144067494,9.901555717,0.279126934,-5.921158273,67.50805556,1577,665.8177083,60.5,3.900833333
72,-50.4840012,-71.5,47,South America,22.58767362,187.8479167,5.76635214,0.003842153,2.185555718,0.021368988,-5.247489584,24.37951389,1136,551.8420139,60.39,7.170694444
74,-50.4840012,-69.5,48,South America,23.04312019,170.8712015,7.597779421,0.009435038,6.733580775,0.203533307,-4.287401621,35.650625,472,234.6179159,56.24,8.319421914
75,-50.4840012,-68.5,48,South America,22.91200967,179.6424261,8.501398111,0.002657424,1.164577203,0.377561368,-4.012875282,40.42861111,330,104.028169,53.11,9.358596931
80,-49.4840012,-75.5,38,South America,11.67354967,5353.061639,6.977550156,0.009399458,10.51538854,0.04386824,-6.339390613,290.4929861,621,140.340694,51.93,6.010680908
81,-49.4840012,-74.5,39,South America,13.5209925,3824.475102,6.120283723,0.027796895,23.82855567,0.099591575,-6.807410017,348.7522222,909,361.3154122,58.22,6.05170895
82,-49.4840012,-73.5,61,South America,15.79841768,1672.934141,2.031327512,0.032703337,14.76227857,0.111854508,-6.539304685,188.2022222,2827,1146.673611,61.08,2.570888334
83,-49.4840012,-72.5,63,South America,19.60930555,539.9470139,5.607291668,0.18417528,10.27710997,0.311600146,-6.017320891,55.19416667,1535,738.3055556,62.71,3.721388889
84,-49.4840012,-71.5,47,South America,22.59518054,191.7428472,6.923660012,0.01613341,6.277388601,0.066580374,-5.522470773,21.79409722,989,556.3298611,62.14,5.872847222
85,-49.4840012,-70.5,49,South America,23.71188193,147.0294444,8.059560479,0.003538548,2.706444263,0.019971704,-4.873745657,25.81055556,756,382.1649306,60.97,6.521041667
86,-49.4840012,-69.5,49,South America,24.02060425,165.7696528,9.0208371,0.005002859,3.319888547,0.026503876,-4.39075433,36.26527778,586,217.0243056,57.53,7.091388889
95,-48.4840012,-73.5,43,South America,15.84063864,1752.776998,3.926884532,0.03153622,13.91389011,0.109008683,-7.218188658,203.634375,2317,857.7600701,63.66,2.584504958
96,-48.4840012,-72.5,53,South America,18.91127083,665.7260417,4.748525463,0.105296996,19.22627861,0.23702042,-6.93337384,70.79493056,1571,923.0347222,65.47,2.902916667
97,-48.4840012,-71.5,49,South America,21.82865279,224.1090972,5.845140338,0.071068986,15.3706671,0.187913807,-5.904749423,26.52645833,1284,887.71875,64.84,4.008055556
