Species,Genus,Family,RangeSize,Groups
Phragmites australis,Phragmites,Poaceae,3492,Widespread
Juncus bufonius,Juncus,Juncaceae,2767,Widespread
Caltha palustris,Caltha,Ranunculaceae,2515,Widespread
Eleocharis palustris,Eleocharis,Cyperaceae,2462,Widespread
Typha latifolia,Typha,Typhaceae,2449,Widespread
Equisetum hyemale,Equisetum,Equisetaceae,2374,Widespread
Equisetum fluviatile,Equisetum,Equisetaceae,2271,Widespread
Rorippa palustris,Rorippa,Brassicaceae,2262,Widespread
Phalaris arundinacea,Phalaris,Poaceae,2237,Widespread
Persicaria lapathifolia,Persicaria,Polygonaceae,2158,Widespread
Persicaria amphibia,Persicaria,Polygonaceae,2090,Widespread
Ranunculus sceleratus,Ranunculus,Ranunculaceae,2078,Widespread
Eriophorum angustifolium,Eriophorum,Cyperaceae,2062,Widespread
Alopecurus aequalis,Alopecurus,Poaceae,2011,Widespread
Carex canescens,Carex,Cyperaceae,1977,Widespread
Juncus effusus,Juncus,Juncaceae,1964,Widespread
Ceratophyllum demersum,Ceratophyllum,Ceratophyllaceae,1937,Widespread
Epilobium palustre,Epilobium,Onagraceae,1934,Widespread
Fimbristylis dichotoma,Fimbristylis,Cyperaceae,1924,Widespread
Comarum palustre,Comarum,Rosaceae,1908,Widespread
Carex rostrata,Carex,Cyperaceae,1903,Widespread
Lemna minor,Lemna,Araceae,1879,Widespread
Carex aquatilis,Carex,Cyperaceae,1872,Widespread
Calystegia sepium,Calystegia,Convolvulaceae,1864,Widespread
Menyanthes trifoliata,Menyanthes,Menyanthaceae,1859,Widespread
Hippuris vulgaris,Hippuris,Plantaginaceae,1855,Widespread
Equisetum palustre,Equisetum,Equisetaceae,1816,Widespread
Ranunculus repens,Ranunculus,Ranunculaceae,1804,Widespread
Lythrum salicaria,Lythrum,Lythraceae,1791,Widespread
Alisma plantago-aquatica,Alisma,Alismataceae,1756,Widespread
Schoenoplectus tabernaemontani,Schoenoplectus,Cyperaceae,1717,Widespread
Eleocharis acicularis,Eleocharis,Cyperaceae,1701,Widespread
Echinochloa colonum,Echinochloa,Poaceae,1695,Widespread
Typha angustifolia,Typha,Typhaceae,1678,Widespread
Potamogeton perfoliatus,Potamogeton,Potamogetonaceae,1658,Widespread
Potamogeton natans,Potamogeton,Potamogetonaceae,1650,Widespread
Potamogeton pusillus,Potamogeton,Potamogetonaceae,1643,Widespread
Mentha arvensis,Mentha,Lamiaceae,1621,Widespread
Juncus articulatus,Juncus,Juncaceae,1576,Widespread
Carex limosa,Carex,Cyperaceae,1554,Widespread
Carex vesicaria,Carex,Cyperaceae,1548,Widespread
Triglochin maritima,Triglochin,Juncaginaceae,1540,Widespread
Potamogeton gramineus,Potamogeton,Potamogetonaceae,1514,Widespread
Epilobium hirsutum,Epilobium,Onagraceae,1511,Widespread
Ranunculus trichophyllus,Ranunculus,Ranunculaceae,1511,Widespread
Sparganium emersum,Sparganium,Typhaceae,1503,Widespread
Callitriche palustris,Callitriche,Plantaginaceae,1484,Widespread
Echinochloa crus-galli,Echinochloa,Poaceae,1476,Widespread
Veronica anagallis-aquatica,Veronica,Plantaginaceae,1457,Widespread
Agrostis stolonifera,Agrostis,Poaceae,1452,Widespread
Bidens tripartita,Bidens,Asteraceae,1434,Widespread
